2021-07-20 22:51:56: Simulating:
	fields : ['c']
	num_elem : 100
	N : 1000
	dt : 0.01
	D : 0.001
	alpha : 1
	tol : 1e-05
2021-07-20 22:52:20: Time: 500
2021-07-20 22:52:20: Time: 501
2021-07-20 22:52:20: Time: 502
2021-07-20 22:52:20: Time: 503
2021-07-20 22:52:20: Time: 504
2021-07-20 22:52:20: Time: 505
2021-07-20 22:52:20: Time: 506
2021-07-20 22:52:20: Time: 507
2021-07-20 22:52:20: Time: 508
2021-07-20 22:52:20: Time: 509
2021-07-20 22:52:20: Time: 510
2021-07-20 22:52:20: Time: 511
2021-07-20 22:52:21: Time: 512
2021-07-20 22:52:21: Time: 513
2021-07-20 22:52:21: Time: 514
2021-07-20 22:52:21: Time: 515
2021-07-20 22:52:21: Time: 516
2021-07-20 22:52:21: Time: 517
2021-07-20 22:52:21: Time: 518
2021-07-20 22:52:21: Time: 519
2021-07-20 22:52:21: Time: 520
2021-07-20 22:52:21: Time: 521
2021-07-20 22:52:21: Time: 522
2021-07-20 22:52:21: Time: 523
2021-07-20 22:52:21: Time: 524
2021-07-20 22:52:21: Time: 525
2021-07-20 22:52:21: Time: 526
2021-07-20 22:52:21: Time: 527
2021-07-20 22:52:21: Time: 528
2021-07-20 22:52:22: Time: 529
2021-07-20 22:52:22: Time: 530
2021-07-20 22:52:22: Time: 531
2021-07-20 22:52:22: Time: 532
2021-07-20 22:52:22: Time: 533
2021-07-20 22:52:22: Time: 534
2021-07-20 22:52:22: Time: 535
2021-07-20 22:52:22: Time: 536
2021-07-20 22:52:22: Time: 537
2021-07-20 22:52:22: Time: 538
2021-07-20 22:52:22: Time: 539
2021-07-20 22:52:22: Time: 540
2021-07-20 22:52:22: Time: 541
2021-07-20 22:52:22: Time: 542
2021-07-20 22:52:22: Time: 543
2021-07-20 22:52:22: Time: 544
2021-07-20 22:52:22: Time: 545
2021-07-20 22:52:22: Time: 546
2021-07-20 22:52:22: Time: 547
2021-07-20 22:52:23: Time: 548
2021-07-20 22:52:23: Time: 549
2021-07-20 22:52:23: Time: 550
2021-07-20 22:52:23: Time: 551
2021-07-20 22:52:23: Time: 552
2021-07-20 22:52:23: Time: 553
2021-07-20 22:52:23: Time: 554
2021-07-20 22:52:23: Time: 555
2021-07-20 22:52:23: Time: 556
2021-07-20 22:52:23: Time: 557
2021-07-20 22:52:23: Time: 558
2021-07-20 22:52:23: Time: 559
2021-07-20 22:52:23: Time: 560
2021-07-20 22:52:23: Time: 561
2021-07-20 22:52:23: Time: 562
2021-07-20 22:52:23: Time: 563
2021-07-20 22:52:23: Time: 564
2021-07-20 22:52:23: Time: 565
2021-07-20 22:52:23: Time: 566
2021-07-20 22:52:24: Time: 567
2021-07-20 22:52:24: Time: 568
2021-07-20 22:52:24: Time: 569
2021-07-20 22:52:24: Time: 570
